city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_type,last_new_job,training_hours,target,company_size_grouped
0.7959999999999999,Unknown,Has relevent experience,Part time course,Graduate,6.0,Funded Startup,1,18,0.0,Medium
0.92,Male,Has relevent experience,Full time course,Graduate,4.0,Pvt Ltd,1,28,0.0,Large
0.897,Male,No relevent experience,no_enrollment,Masters,11.0,Pvt Ltd,2,8,0.0,Large
0.624,Unknown,Has relevent experience,Full time course,Graduate,0.0,Unknown,1,100,1.0,Small
0.92,Male,Has relevent experience,no_enrollment,Graduate,15.0,Pvt Ltd,1,8,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,2,26,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,2,55,0.0,Large
0.926,Male,Has relevent experience,Full time course,High School,5.0,Public Sector,2,163,0.0,Medium
0.91,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,4,51,0.0,Large
0.92,Unknown,Has relevent experience,Part time course,Graduate,15.0,Public Sector,1,106,0.0,Medium
0.893,Male,No relevent experience,no_enrollment,Graduate,2.0,Unknown,1,45,1.0,Unknown
0.836,Unknown,No relevent experience,Full time course,Masters,4.0,Unknown,1,15,1.0,Unknown
0.926,Male,No relevent experience,Full time course,Graduate,9.0,Unknown,1,28,0.0,Unknown
0.855,Male,No relevent experience,Part time course,Graduate,17.0,Unknown,2,19,0.0,Unknown
0.92,Female,No relevent experience,Full time course,Masters,5.0,Public Sector,1,86,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,13.0,Pvt Ltd,>4,140,0.0,Medium
0.884,Male,Has relevent experience,no_enrollment,Graduate,4.0,Pvt Ltd,2,26,1.0,Medium
0.913,Male,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,1,141,0.0,Large
0.698,Unknown,No relevent experience,Part time course,Graduate,4.0,Unknown,never,46,1.0,Unknown
0.624,Male,No relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,17,0.0,Large
0.624,Unknown,Has relevent experience,Full time course,Masters,2.0,Pvt Ltd,never,48,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,7.0,Early Stage Startup,1,324,0.0,Small
0.878,Male,No relevent experience,Unknown,Unknown,6.0,Unknown,1,60,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Graduate,5.0,Unknown,1,89,1.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,2,134,0.0,Medium
0.74,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,4,84,0.0,Medium
0.92,Unknown,Has relevent experience,no_enrollment,Masters,7.0,Pvt Ltd,1,9,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,2,36,0.0,Large
0.92,Unknown,No relevent experience,no_enrollment,Graduate,7.0,Pvt Ltd,2,31,0.0,Large
0.92,Unknown,No relevent experience,Full time course,Graduate,1.0,Other,never,26,0.0,Unknown
0.682,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,2,10,0.0,Large
0.843,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,4,210,0.0,Small
0.754,Male,Has relevent experience,Part time course,Graduate,7.0,Pvt Ltd,2,136,1.0,Small
0.92,Female,No relevent experience,Part time course,Masters,21.0,Pvt Ltd,>4,9,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Unknown,2,20,1.0,Unknown
0.55,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,86,0.0,Medium
0.579,Unknown,No relevent experience,Full time course,Graduate,1.0,Unknown,never,118,0.0,Unknown
0.579,Male,Has relevent experience,no_enrollment,Graduate,11.0,Unknown,4,52,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,66,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,5,0.0,Medium
0.897,Unknown,Has relevent experience,no_enrollment,Graduate,2.0,Unknown,1,56,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Masters,4.0,Pvt Ltd,1,57,0.0,Large
0.926,Male,No relevent experience,no_enrollment,High School,1.0,Unknown,never,85,0.0,Unknown
0.887,Male,No relevent experience,Full time course,Graduate,3.0,Funded Startup,1,10,1.0,Small
0.91,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,86,0.0,Medium
0.847,Male,Has relevent experience,Full time course,Masters,6.0,Unknown,1,3,0.0,Small
0.923,Male,Has relevent experience,no_enrollment,Masters,18.0,Unknown,1,44,0.0,Large
0.836,Male,No relevent experience,no_enrollment,Primary School,1.0,Unknown,never,34,0.0,Unknown
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,15.0,Pvt Ltd,1,84,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,2.0,Unknown,2,91,0.0,Small
0.923,Male,Has relevent experience,Full time course,High School,9.0,Unknown,1,56,0.0,Unknown
0.624,Female,Has relevent experience,no_enrollment,Graduate,9.0,Unknown,1,15,0.0,Large
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,14.0,NGO,1,44,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,9,0.0,Medium
0.624,Unknown,No relevent experience,Full time course,High School,1.0,Unknown,never,104,1.0,Unknown
0.698,Male,No relevent experience,Full time course,Graduate,1.0,Unknown,1,81,1.0,Unknown
0.925,Male,Has relevent experience,Full time course,Graduate,5.0,Pvt Ltd,1,118,1.0,Small
0.624,Female,No relevent experience,Full time course,Masters,3.0,Unknown,never,94,1.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,1,14,0.0,Large
0.855,Male,Has relevent experience,Part time course,Graduate,4.0,Pvt Ltd,1,141,0.0,Small
0.926,Male,Has relevent experience,no_enrollment,Masters,14.0,Pvt Ltd,4,334,0.0,Medium
0.92,Male,Has relevent experience,Full time course,Graduate,7.0,Pvt Ltd,1,148,1.0,Large
0.624,Male,Has relevent experience,no_enrollment,Graduate,10.0,Unknown,>4,81,1.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,High School,21.0,Pvt Ltd,4,14,0.0,Large
0.794,Male,Has relevent experience,Full time course,Graduate,6.0,Pvt Ltd,never,62,0.0,Small
0.55,Female,No relevent experience,Full time course,Graduate,4.0,Unknown,never,25,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,6.0,Public Sector,1,26,0.0,Large
0.855,Male,No relevent experience,no_enrollment,High School,3.0,Unknown,never,12,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,84,1.0,Unknown
0.624,Male,No relevent experience,no_enrollment,High School,2.0,Unknown,never,20,1.0,Unknown
0.856,Male,Has relevent experience,Full time course,Graduate,15.0,Pvt Ltd,3,332,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,2,97,1.0,Large
0.92,Male,No relevent experience,Full time course,Graduate,11.0,Unknown,4,130,1.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,11.0,Pvt Ltd,2,124,0.0,Large
0.804,Unknown,Has relevent experience,no_enrollment,Graduate,16.0,Pvt Ltd,>4,258,0.0,Small
0.804,Male,Has relevent experience,no_enrollment,Masters,12.0,Pvt Ltd,never,26,1.0,Medium
0.6890000000000001,Unknown,No relevent experience,no_enrollment,Unknown,2.0,Unknown,never,21,0.0,Unknown
0.698,Male,Has relevent experience,no_enrollment,Unknown,11.0,Unknown,1,190,0.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Masters,8.0,Public Sector,1,5,1.0,Large
0.926,Male,Has relevent experience,no_enrollment,Masters,15.0,Pvt Ltd,1,3,0.0,Large
0.915,Male,No relevent experience,Full time course,High School,4.0,Unknown,1,192,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Masters,7.0,Unknown,2,53,0.0,Unknown
0.743,Unknown,Has relevent experience,Full time course,Masters,2.0,Pvt Ltd,1,4,0.0,Medium
0.7759999999999999,Unknown,Has relevent experience,no_enrollment,Masters,8.0,Pvt Ltd,never,101,0.0,Large
0.743,Unknown,No relevent experience,no_enrollment,Masters,2.0,Unknown,1,198,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,>4,66,1.0,Medium
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,2,224,1.0,Large
0.83,Male,Has relevent experience,no_enrollment,Masters,10.0,Pvt Ltd,1,45,0.0,Small
0.884,Male,No relevent experience,no_enrollment,Masters,1.0,Unknown,1,206,0.0,Unknown
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,264,0.0,Medium
0.8270000000000001,Male,Has relevent experience,no_enrollment,Unknown,6.0,Public Sector,2,23,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,48,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,2,66,0.0,Small
0.92,Unknown,Has relevent experience,Unknown,Graduate,3.0,Funded Startup,1,52,0.0,Medium
0.855,Unknown,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,2,35,0.0,Large
0.893,Unknown,No relevent experience,Full time course,Primary School,3.0,Unknown,1,22,0.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,1,22,1.0,Unknown
0.68,Male,Has relevent experience,no_enrollment,Masters,12.0,Pvt Ltd,1,21,0.0,Large
0.92,Male,No relevent experience,no_enrollment,Graduate,8.0,Funded Startup,1,89,0.0,Medium
0.624,Unknown,No relevent experience,Part time course,Graduate,7.0,Pvt Ltd,2,109,0.0,Large
0.624,Male,Has relevent experience,Full time course,Graduate,9.0,Pvt Ltd,>4,91,1.0,Large
0.92,Female,No relevent experience,Full time course,Graduate,3.0,Pvt Ltd,2,61,0.0,Large
0.91,Male,Has relevent experience,Full time course,Graduate,21.0,Pvt Ltd,>4,146,0.0,Medium
0.887,Male,Has relevent experience,no_enrollment,Graduate,16.0,Pvt Ltd,2,202,0.0,Small
0.92,Male,No relevent experience,no_enrollment,Graduate,16.0,Pvt Ltd,>4,39,0.0,Small
0.762,Male,No relevent experience,Part time course,High School,3.0,Unknown,never,72,0.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Masters,5.0,Funded Startup,1,60,0.0,Small
0.624,Male,Has relevent experience,Full time course,Graduate,11.0,Pvt Ltd,1,134,0.0,Large
0.887,Male,Has relevent experience,Part time course,Masters,9.0,Unknown,1,24,0.0,Small
0.898,Male,Has relevent experience,no_enrollment,Graduate,18.0,Pvt Ltd,1,220,0.0,Large
0.893,Unknown,Has relevent experience,Full time course,Graduate,0.0,Pvt Ltd,1,50,0.0,Large
0.91,Male,Has relevent experience,Full time course,Graduate,6.0,Pvt Ltd,>4,14,0.0,Small
0.91,Male,Has relevent experience,no_enrollment,High School,17.0,Pvt Ltd,1,12,0.0,Large
0.91,Male,No relevent experience,no_enrollment,High School,5.0,Unknown,never,66,0.0,Unknown
0.939,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,2,41,0.0,Unknown
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,never,80,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,NGO,>4,90,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Public Sector,1,142,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Graduate,0.0,Pvt Ltd,1,151,1.0,Large
0.91,Male,Has relevent experience,no_enrollment,Graduate,8.0,Early Stage Startup,1,82,0.0,Medium
0.754,Male,Has relevent experience,no_enrollment,Graduate,21.0,Public Sector,>4,28,0.0,Large
0.762,Unknown,Has relevent experience,no_enrollment,Masters,18.0,Other,4,51,0.0,Large
0.924,Male,Has relevent experience,no_enrollment,Graduate,19.0,Unknown,1,59,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,2,155,0.0,Small
0.794,Male,No relevent experience,no_enrollment,High School,3.0,Pvt Ltd,never,14,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,26,0.0,Medium
0.92,Male,No relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,23,1.0,Unknown
0.6659999999999999,Unknown,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,1,107,0.0,Small
0.92,Female,Has relevent experience,no_enrollment,Masters,2.0,Unknown,1,40,0.0,Unknown
0.624,Unknown,Has relevent experience,no_enrollment,Masters,7.0,Pvt Ltd,>4,111,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,59,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Masters,14.0,Pvt Ltd,2,17,0.0,Medium
0.926,Unknown,No relevent experience,Full time course,Graduate,6.0,Pvt Ltd,1,16,0.0,Large
0.923,Other,Has relevent experience,no_enrollment,Graduate,16.0,Pvt Ltd,3,89,0.0,Small
0.949,Male,Has relevent experience,no_enrollment,Masters,21.0,Unknown,>4,48,1.0,Unknown
0.897,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,75,0.0,Small
0.855,Male,Has relevent experience,Part time course,Graduate,2.0,Pvt Ltd,2,42,0.0,Large
0.512,Female,Has relevent experience,no_enrollment,Masters,15.0,Pvt Ltd,>4,75,0.0,Medium
0.926,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,42,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,2,28,0.0,Medium
0.91,Male,Has relevent experience,no_enrollment,Graduate,11.0,Pvt Ltd,1,32,0.0,Small
0.92,Unknown,No relevent experience,Full time course,Graduate,2.0,Unknown,1,224,1.0,Unknown
0.855,Male,Has relevent experience,no_enrollment,Graduate,0.0,Pvt Ltd,1,78,0.0,Medium
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,86,0.0,Medium
0.527,Male,No relevent experience,no_enrollment,Graduate,2.0,Unknown,1,111,0.0,Unknown
0.527,Female,No relevent experience,Part time course,Graduate,1.0,Unknown,never,86,0.0,Unknown
0.926,Male,No relevent experience,Unknown,High School,6.0,Unknown,1,18,0.0,Unknown
0.895,Male,Has relevent experience,no_enrollment,Primary School,21.0,Unknown,3,300,0.0,Unknown
0.913,Male,Has relevent experience,no_enrollment,Graduate,4.0,Pvt Ltd,2,6,0.0,Large
0.691,Male,Has relevent experience,no_enrollment,Graduate,3.0,Unknown,>4,18,0.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,1,38,1.0,Large
0.926,Male,Has relevent experience,no_enrollment,High School,5.0,Pvt Ltd,never,56,0.0,Large
0.926,Unknown,No relevent experience,no_enrollment,Masters,11.0,Unknown,never,18,1.0,Unknown
0.878,Male,Has relevent experience,no_enrollment,Masters,11.0,Pvt Ltd,3,112,0.0,Medium
0.91,Unknown,Has relevent experience,Full time course,Graduate,10.0,Pvt Ltd,2,17,0.0,Large
0.802,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,2,27,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Public Sector,>4,39,0.0,Medium
0.949,Male,Has relevent experience,no_enrollment,Masters,9.0,Funded Startup,3,24,0.0,Small
0.836,Male,Has relevent experience,Part time course,Graduate,19.0,Public Sector,1,4,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,18.0,Unknown,never,10,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,3,136,0.0,Small
0.743,Male,Has relevent experience,no_enrollment,Masters,9.0,Pvt Ltd,2,73,0.0,Large
0.91,Male,No relevent experience,Full time course,High School,5.0,Unknown,1,34,1.0,Unknown
0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,42,0.0,Medium
0.878,Unknown,No relevent experience,no_enrollment,Unknown,11.0,Pvt Ltd,>4,73,0.0,Large
0.92,Male,Has relevent experience,Full time course,Graduate,9.0,Unknown,2,11,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Unknown,6.0,Unknown,never,25,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,15.0,Funded Startup,>4,102,0.0,Medium
0.624,Male,No relevent experience,Full time course,Graduate,3.0,Unknown,never,53,1.0,Unknown
0.887,Unknown,No relevent experience,Part time course,Graduate,5.0,Pvt Ltd,3,20,0.0,Small
0.92,Unknown,No relevent experience,Part time course,Graduate,15.0,Unknown,2,20,0.0,Unknown
0.92,Male,No relevent experience,Full time course,Graduate,6.0,Unknown,1,47,0.0,Unknown
0.804,Male,Has relevent experience,Full time course,Graduate,6.0,Pvt Ltd,1,102,1.0,Medium
0.624,Male,No relevent experience,no_enrollment,High School,5.0,Unknown,never,178,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Masters,12.0,Unknown,1,1,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,6,1.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,>4,166,1.0,Large
0.855,Male,Has relevent experience,Full time course,Masters,8.0,Pvt Ltd,>4,204,0.0,Medium
0.6659999999999999,Male,Has relevent experience,Full time course,Masters,21.0,Pvt Ltd,never,98,0.0,Small
0.7659999999999999,Unknown,No relevent experience,Part time course,Graduate,4.0,Pvt Ltd,1,9,0.0,Small
0.5579999999999999,Male,No relevent experience,Full time course,Graduate,3.0,Pvt Ltd,1,67,1.0,Small
0.92,Female,Has relevent experience,Part time course,Graduate,8.0,Pvt Ltd,1,43,0.0,Large
0.698,Male,Has relevent experience,no_enrollment,Masters,12.0,Unknown,1,11,0.0,Large
0.92,Male,No relevent experience,no_enrollment,Primary School,7.0,Pvt Ltd,never,28,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,1,39,0.0,Large
0.92,Male,No relevent experience,no_enrollment,Primary School,9.0,Unknown,never,42,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,17,0.0,Large
0.698,Male,No relevent experience,Full time course,Graduate,1.0,Unknown,never,12,1.0,Unknown
0.8959999999999999,Male,No relevent experience,Full time course,High School,2.0,Unknown,never,54,0.0,Unknown
0.924,Male,No relevent experience,Full time course,High School,3.0,Funded Startup,1,17,0.0,Medium
0.897,Male,No relevent experience,Full time course,Graduate,3.0,Public Sector,never,26,0.0,Unknown
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,1.0,Pvt Ltd,1,10,1.0,Large
0.64,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,1,148,0.0,Large
0.887,Unknown,Has relevent experience,no_enrollment,High School,9.0,Pvt Ltd,never,5,0.0,Medium
0.884,Unknown,No relevent experience,Part time course,Graduate,15.0,Unknown,1,13,1.0,Unknown
0.92,Male,No relevent experience,Full time course,Graduate,4.0,Early Stage Startup,1,151,0.0,Small
0.92,Male,No relevent experience,Full time course,Graduate,0.0,Pvt Ltd,never,15,1.0,Unknown
0.847,Male,Has relevent experience,no_enrollment,Graduate,15.0,Unknown,3,35,0.0,Large
0.91,Male,Has relevent experience,no_enrollment,Graduate,21.0,Funded Startup,>4,130,0.0,Medium
0.624,Male,No relevent experience,Full time course,High School,5.0,Unknown,never,46,1.0,Unknown
0.856,Male,No relevent experience,no_enrollment,Masters,9.0,Pvt Ltd,1,119,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,2,43,0.0,Medium
0.682,Male,Has relevent experience,Unknown,Graduate,7.0,Pvt Ltd,1,39,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,13.0,Funded Startup,4,21,0.0,Small
0.698,Male,Has relevent experience,Part time course,Graduate,5.0,Early Stage Startup,2,238,0.0,Small
0.624,Male,Has relevent experience,no_enrollment,Graduate,4.0,Funded Startup,1,21,0.0,Small
0.926,Male,No relevent experience,no_enrollment,High School,1.0,NGO,never,53,0.0,Small
0.527,Male,Has relevent experience,no_enrollment,Graduate,10.0,Public Sector,2,38,1.0,Medium
0.92,Unknown,No relevent experience,no_enrollment,Graduate,18.0,Pvt Ltd,>4,32,0.0,Large
0.92,Unknown,No relevent experience,Full time course,Graduate,4.0,Unknown,never,38,1.0,Unknown
0.897,Male,No relevent experience,Part time course,Masters,4.0,Unknown,1,17,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,20,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,17.0,Pvt Ltd,>4,81,0.0,Small
0.624,Male,Has relevent experience,Full time course,Masters,7.0,Public Sector,1,82,1.0,Large
0.92,Male,No relevent experience,Full time course,Graduate,3.0,Unknown,never,54,1.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Masters,16.0,Pvt Ltd,2,170,0.0,Small
0.92,Unknown,No relevent experience,no_enrollment,Primary School,3.0,Unknown,never,7,0.0,Unknown
0.884,Male,No relevent experience,Full time course,High School,8.0,Unknown,1,113,0.0,Unknown
0.855,Unknown,Has relevent experience,no_enrollment,Masters,4.0,Early Stage Startup,1,39,0.0,Small
0.884,Male,Has relevent experience,no_enrollment,Masters,13.0,Pvt Ltd,>4,36,0.0,Large
0.843,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,25,0.0,Small
0.624,Male,Has relevent experience,no_enrollment,Graduate,2.0,Unknown,2,14,1.0,Medium
0.754,Male,Has relevent experience,no_enrollment,Graduate,8.0,Unknown,4,40,0.0,Medium
0.794,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,4,15,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,57,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,5.0,Funded Startup,1,129,0.0,Medium
0.878,Male,Has relevent experience,no_enrollment,Phd,21.0,Pvt Ltd,>4,98,0.0,Medium
0.624,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,2,11,1.0,Large
0.579,Male,No relevent experience,Full time course,High School,2.0,Unknown,never,158,0.0,Unknown
0.855,Male,No relevent experience,no_enrollment,Masters,21.0,Funded Startup,>4,78,0.0,Small
0.924,Female,No relevent experience,Part time course,Graduate,19.0,Pvt Ltd,4,81,0.0,Large
0.624,Male,Has relevent experience,no_enrollment,Graduate,6.0,Funded Startup,1,11,1.0,Medium
0.895,Male,Has relevent experience,Unknown,Unknown,21.0,Unknown,>4,146,0.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,4,45,1.0,Large
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,1,6,0.0,Medium
0.624,Male,Has relevent experience,Full time course,Graduate,0.0,Early Stage Startup,1,5,1.0,Small
0.6890000000000001,Unknown,No relevent experience,Full time course,High School,3.0,Unknown,never,26,1.0,Unknown
0.92,Male,No relevent experience,Full time course,High School,10.0,Unknown,1,32,1.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Masters,15.0,Unknown,1,46,1.0,Unknown
0.887,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,never,43,1.0,Small
0.939,Male,Has relevent experience,no_enrollment,High School,21.0,Pvt Ltd,never,69,0.0,Small
0.804,Male,Has relevent experience,no_enrollment,High School,12.0,Pvt Ltd,1,20,0.0,Unknown
0.767,Male,Has relevent experience,Part time course,Graduate,7.0,Unknown,1,99,0.0,Small
0.887,Male,Has relevent experience,Unknown,Graduate,21.0,Pvt Ltd,>4,4,0.0,Large
0.924,Male,No relevent experience,Full time course,Unknown,6.0,Unknown,2,21,0.0,Unknown
0.92,Female,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,15,1.0,Small
0.926,Unknown,No relevent experience,Full time course,High School,9.0,Unknown,1,48,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,74,1.0,Small
0.887,Male,Has relevent experience,Full time course,High School,10.0,Unknown,1,78,0.0,Unknown
0.624,Male,Has relevent experience,Full time course,Graduate,5.0,Early Stage Startup,2,44,0.0,Medium
0.899,Male,Has relevent experience,no_enrollment,Graduate,21.0,Funded Startup,1,114,0.0,Medium
0.6659999999999999,Male,Has relevent experience,no_enrollment,High School,19.0,Pvt Ltd,1,26,0.0,Small
0.8270000000000001,Unknown,Has relevent experience,no_enrollment,Masters,7.0,Unknown,1,56,0.0,Medium
0.926,Unknown,Has relevent experience,no_enrollment,Masters,14.0,Pvt Ltd,never,62,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Funded Startup,2,106,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,11.0,Unknown,1,67,0.0,Unknown
0.527,Unknown,No relevent experience,no_enrollment,High School,3.0,Unknown,never,34,0.0,Unknown
0.91,Male,No relevent experience,no_enrollment,High School,9.0,Unknown,never,37,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,161,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,8.0,Funded Startup,1,30,0.0,Medium
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,21.0,NGO,never,77,0.0,Large
0.92,Unknown,No relevent experience,no_enrollment,Masters,4.0,Pvt Ltd,1,100,0.0,Large
0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,4.0,Pvt Ltd,never,22,0.0,Large
0.926,Male,Has relevent experience,no_enrollment,Masters,19.0,Pvt Ltd,never,18,0.0,Large
0.843,Male,No relevent experience,Full time course,Graduate,2.0,Unknown,never,23,0.0,Unknown
0.893,Unknown,Has relevent experience,Part time course,Graduate,11.0,Unknown,1,52,0.0,Unknown
0.91,Unknown,No relevent experience,no_enrollment,Unknown,2.0,Pvt Ltd,never,30,0.0,Unknown
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,>4,80,0.0,Medium
0.6890000000000001,Unknown,No relevent experience,no_enrollment,Graduate,3.0,Funded Startup,3,84,0.0,Small
0.884,Unknown,Has relevent experience,no_enrollment,Masters,21.0,Funded Startup,2,64,0.0,Small
0.516,Unknown,Has relevent experience,Full time course,Graduate,3.0,Pvt Ltd,1,32,0.0,Large
0.624,Male,No relevent experience,no_enrollment,Graduate,2.0,Unknown,1,15,1.0,Unknown
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,2.0,Unknown,1,42,1.0,Unknown
0.624,Unknown,No relevent experience,no_enrollment,Graduate,3.0,Unknown,never,22,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,19.0,Unknown,2,96,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Masters,14.0,Pvt Ltd,4,31,0.0,Large
0.479,Unknown,Has relevent experience,Full time course,Phd,21.0,Pvt Ltd,>4,44,0.0,Large
0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,21.0,Unknown,>4,157,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,4,23,0.0,Medium
0.74,Male,Has relevent experience,Part time course,Graduate,14.0,Pvt Ltd,>4,12,0.0,Unknown
0.939,Male,No relevent experience,no_enrollment,Primary School,3.0,Unknown,never,52,0.0,Unknown
